ticker,name
sh000001,上证综指
sh000002,上证A指
sh000003,上证B指
sh000004,上证工业类指数
sh000005,上证商业类指数
sh000006,上证房地产指数
sh000007,上证公用事业股指数
sh000008,上证综合股指数
sh000009,上证380
sh000010,上证180
sh000015,上证红利
sh000016,上证50
sh000017,新综指
sh000018,180金融
sh000019,治理指数
sh000020,中型综指
sh000021,180治理
sh000025,180基建
sh000026,180资源
sh000027,180运输
sh000028,180成长
sh000029,180价值
sh000030,180R成长
sh000031,180R价值
sh000032,上证能源
sh000033,上证材料
sh000034,上证工业
sh000035,上证可选
sh000036,上证消费
sh000037,上证医药
sh000038,上证金融
sh000039,上证信息
sh000040,上证电信
sh000041,上证公用
sh000042,上证央企
sh000043,超大盘
sh000044,上证中盘
sh000045,上证小盘
sh000046,上证中小
sh000047,上证全指
sh000048,责任指数
sh000049,上证民企
sh000050,50等权
sh000051,180等权
sh000052,50基本
sh000053,180基本
sh000054,上证海外
sh000055,上证地企
sh000056,上证国企
sh000057,全指成长
sh000058,全指价值
sh000059,全R成长
sh000060,全R价值
sh000062,上证沪企
sh000063,上证周期
sh000064,非周期
sh000065,上证龙头
sh000066,上证商品
sh000067,上证新兴
sh000068,上证资源
sh000069,消费80
sh000070,能源等权
sh000071,材料等权
sh000072,工业等权
sh000073,可选等权
sh000074,消费等权
sh000075,医药等权
sh000076,金融等权
sh000077,信息等权
sh000078,电信等权
sh000079,公用等权
sh000090,上证流通
sh000091,沪财中小
sh000092,资源50
sh000093,180分层
sh000094,上证上游
sh000095,上证中游
sh000096,上证下游
sh000097,高端装备
sh000098,上证F200
sh000099,上证F300
sh000100,上证F500
sh000102,沪投资品
sh000103,沪消费品
sh000104,380能源
sh000105,380材料
sh000106,380工业
sh000107,380可选
sh000108,380消费
sh000109,380医药
sh000110,380金融
sh000111,380信息
sh000112,380电信
sh000113,380公用
sh000114,持续产业
sh000115,380等权
sh000117,380成长
sh000118,380价值
sh000119,380R成长
sh000120,380R价值
sh000121,医药主题
sh000122,农业主题
sh000123,上证180动态
sh000125,上证180稳定
sh000126,上证消费50
sh000128,380基本
sh000129,180波动
sh000130,380波动
sh000131,上证高新
sh000132,上证100
sh000133,上证150
sh000134,上证银行
sh000135,上证180高贝塔
sh000136,上证180低贝塔
sh000137,上证380高贝塔
sh000138,上证380低贝塔
sh000141,上证380动态
sh000142,上证380稳定
sh000145,优势资源
sh000146,优势制造
sh000147,优势消费
sh000148,消费领先
sh000149,上证180红利
sh000150,上证380红利
sh000151,上证国企红利
sh000152,上证央企红利
sh000153,上证民企红利
sh000155,上证市值百强
sh000158,上证环保
sh000159,沪股通
sh000160,沪新丝路
sh000802,500沪市
sh000849,300非银
sh000850,300有色
sh000901,小康指数
sh000970,ESG 40
sh000972,300沪市
sh000976,新华金牛
sh000999,两岸三地
sz.399001,深证成指
sz.399002,深成指R
sz.399003,深成B指
sz.399004,深证100R
sz.399005,中小板指
sz.399006,创业板指
sz.399007,深证300
sz.399008,中小300
sz.399009,深证200
sz.399010,深证700
sz.399011,深证1000
sz.399012,创业300
sz.399013,深市精选
sz.399015,中小创新
sz.399100,深证新综指
sz.399101,中小板综
sz.399102,创业板综
sz.399106,深证综指
sz.399107,深证A指
sz.399108,深证B指
sz.399231,农林指数
sz.399232,采矿指数
sz.399233,制造指数
sz.399234,水电指数
sz.399235,建筑指数
sz.399236,批零指数
sz.399237,运输指数
sz.399238,餐饮指数
sz.399239,IT指数
sz.399240,金融指数
sz.399241,地产指数
sz.399242,商务指数
sz.399243,科研指数
sz.399244,公共指数
sz.399248,文化指数
sz.399249,综企指数
sz.399300,沪深300
sz.399303,国证2000
sz.399310,国证50
sz.399311,国证1000
sz.399312,国证300
sz.399313,巨潮100
sz.399314,巨潮大盘
sz.399315,巨潮中盘
sz.399316,巨潮小盘
sz.399317,国证A指
sz.399318,国证B指
sz.399319,资源优势
sz.399320,国证服务
sz.399321,国证红利
sz.399322,国证治理
sz.399324,深证红利
sz.399326,成长40
sz.399328,深证治理
sz.399330,深证100
sz.399332,深证创新
sz.399333,中小板指R
sz.399335,深证央企
